Match_ID,Match_Date,Match,Winner,Loser,WinLoss,Championship_Match,Promotion,Match_Type,Stipulation,Event,Event_Name,Event_Type
1699,2013-02-23,John Cena vs CM Punk,John Cena,CM Punk,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1698,2013-02-22,John Cena vs CM Punk,John Cena,CM Punk,Win,Exhibition,WWE,Singles,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1697,2013-02-21,John Cena vs Big E. Langston & Dolph Ziggler,John Cena,Big E. Langston & Dolph Ziggler,Win,Exhibition,WWE,1 vs 2 Handicap Match,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1696,2013-02-17,"The Shield (Dean Ambrose, Roman Reigns & Seth Rollins) vs John Cena, Ryback & Sheamus","The Shield (Dean Ambrose, Roman Reigns & Seth Rollins)","John Cena, Ryback & Sheamus",Loss,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE Elimination Chamber 2013,WWE Elimination Chamber ,PPV/PLE
1695,2013-02-11,"John Cena, Ryback & Sheamus vs","John Cena, Ryback & Sheamus","3MB (Drew McIntyre, Heath Slater & Jinder Mahal)",Win,Exhibition,WWE,3 vs 3 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Televised
1694,2013-02-11,John Cena vs Dolph Ziggler,John Cena,Dolph Ziggler,Win,Exhibition,WWE,Singles,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1693,2013-02-04,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE Monday Night RAW ,WWE Monday Night RAW,Non-Televised
1692,2013-02-03,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1691,2013-02-02,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
1690,2013-02-01,John Cena & Ryback vs CM Punk & Dolph Ziggler,John Cena & Ryback,CM Punk & Dolph Ziggler,Win,Exhibition,WWE,2 vs 2 Tag Team,No Stipulation,WWE RAW House Show,WWE House Show,Non-Televised
